data_year,victim_id,injury_id
2023,203257985,5
2023,203257986,5
2023,203257989,5
2023,203257990,5
2023,203257991,5
2023,203257992,5
2023,203257993,5
2023,203258091,4
2023,203258150,4
2023,203258225,5
2023,203258325,5
2023,203258077,4
2023,184543826,5
2023,184543827,5
2023,184543828,5
2023,184543829,5
2023,184543872,4
2023,184544243,6
2023,184544017,5
2023,184544018,5
2023,184543956,4
2023,184543957,4
2023,184544635,4
2023,184543993,5
2023,184544321,5
2023,184544525,4
2023,184544555,5
2023,203284987,5
2023,184544457,5
2023,184544510,5
2023,184544787,4
2023,184544090,5
2023,184544477,4
2023,184544126,2
2023,184544127,2
2023,186294168,5
2023,186294169,5
2023,186293825,5
2023,186293957,5
2023,186293935,6
2023,188513373,5
2023,186294864,6
2023,186294865,6
2023,186293995,4
2023,186294163,4
2023,186294191,4
2023,186294210,5
2023,186294242,4
2023,186294137,5
2023,186294189,8
2023,186294192,8
2023,186294207,4
2023,186294217,4
2023,186294236,4
2023,186294133,6
2023,186294240,4
2023,186294252,4
2023,186294273,6
2023,186294287,4
2023,186294074,5
2023,186294233,3
2023,186294244,4
2023,188513115,6
2023,188513766,6
2023,188513116,5
2023,188513838,5
2023,188513839,5
2023,188513698,5
2023,188513709,4
2023,188513759,4
2023,188513783,4
2023,188513737,4
2023,188513273,4
2023,188513818,4
2023,188513819,4
2023,188513770,5
2023,188513822,4
2023,188513354,5
2023,188514063,4
2023,188514103,5
2023,189428293,6
2023,189427675,5
2023,189427622,6
2023,189427621,4
2023,189428254,4
2023,189428278,5
2023,189428298,5
2023,189427602,4
2023,189427603,4
2023,189428398,6
2023,189427586,4
2023,189427813,4
2023,189427727,4
2023,189427787,5
2023,189428354,4
2023,189428385,4
2023,189427730,5
2023,189427772,5
2023,189427994,4
2023,189428442,6
2023,189428676,5
2023,189428677,5
2023,189428707,3
2023,189428154,1
2023,189428555,4
2023,189428611,5
2023,191847167,5
2023,191847154,6
2023,191847158,3
2023,191847689,4
2023,191847624,4
2023,191847625,5
2023,191847651,5
2023,191847406,4
2023,191847407,4
2023,191847249,4
2023,191847815,8
2023,191847850,4
2023,191847449,5
2023,191847727,6
2023,191847562,5
2023,191847740,5
