data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2023,5,164933858,1.000,3,14993710
2023,12,166605992,3.000,1,15242602
2023,16,166605992,1.000,9,15242603
2023,12,170547189,0.001,1,15811876
2023,12,170547217,0.001,1,15811878
2023,12,171697378,0.002,1,15974450
2023,5,171697462,0.002,4,15974463
2023,11,171697462,0.001,3,15974464
2023,11,171697377,0.010,1,15974447
2023,12,171697377,0.003,1,15974448
2023,5,171697377,0.004,1,15974449
2023,12,173513310,0.005,1,16233142
2023,11,173513343,0.001,1,16233144
2023,12,173513417,0.003,1,16233147
2023,5,173513417,0.004,1,16233148
2023,12,173513462,0.013,3,16233151
2023,11,173513462,0.002,3,16233152
2023,2,173513462,0.002,1,16233153
2023,5,173513447,0.001,3,16233150
2023,1,173513488,0.021,1,16233155
2023,2,173513488,0.004,1,16233156
2023,11,173513488,0.012,1,16233157
2023,1,173513523,0.001,1,16233159
2023,5,173513568,0.001,1,16233161
2023,12,173513429,0.001,1,16233149
2023,5,175060644,0.001,3,16427568
2023,8,175060641,0.001,9,16427566
2023,12,175060641,0.001,1,16427567
2023,5,175060697,0.001,3,16427573
2023,8,175060697,0.009,9,16427574
2023,12,175060704,0.002,1,16427575
2023,5,177740223,0.001,3,16792583
2023,12,179270832,0.001,1,16998823
2023,2,179270832,0.001,1,16998824
2023,5,179270832,0.001,3,16998825
2023,12,179270923,0.001,1,16998842
2023,12,163574815,9.000,1,14810593
2023,5,163574916,1.000,11,14810597
2023,2,163575163,1.000,11,14810609
2023,12,163575159,1.000,11,14810607
2023,5,163575325,1.000,11,14810613
2023,16,163575325,1.000,11,14810614
2023,1,164921386,1.000,11,14992351
2023,15,164921678,1.000,11,14992372
2023,5,166616662,1.000,11,15243828
2023,12,166616732,1.009,1,15243833
2023,12,166616488,1.000,11,15243820
2023,12,166616731,16.000,1,15243832
2023,12,166616503,1.000,11,15243823
2023,5,167298827,1.000,11,15350937
2023,12,167298868,28.000,1,15350940
2023,12,167298961,1.000,11,15350951
2023,4,167299001,1.000,11,15350961
2023,12,167299001,1.000,11,15350962
2023,16,167299001,1.000,11,15350963
2023,12,167299045,1.000,11,15350969
2023,2,167299045,1.000,11,15350970
2023,12,167299169,1.000,11,15350980
2023,12,169107328,1.000,11,15604590
2023,5,169107351,1.000,11,15604595
2023,12,169107445,1.000,3,15604599
2023,16,169107297,1.000,11,15604587
2023,5,169107336,1.000,11,15604591
2023,12,169107269,31.000,9,15604583
2023,12,169107646,1.000,11,15604611
2023,5,169107554,1.000,11,15604603
2023,5,169107904,12.000,1,15604627
2023,5,169107783,1.000,11,15604620
2023,11,169107878,1.000,11,15604625
2023,5,169108002,0.004,3,15604636
2023,1,170529956,0.600,3,15809707
2023,2,170529956,0.500,3,15809708
2023,12,170530228,1.000,11,15809737
2023,2,170529815,1.000,11,15809692
2023,5,170530014,1.000,11,15809715
2023,12,170529963,1.000,11,15809709
2023,5,170529988,1.000,11,15809712
2023,5,170530615,1.000,3,15809782
2023,12,170530470,0.009,1,15809766
2023,5,170530771,1.000,11,15809813
2023,5,170530442,1.000,11,15809761
