data_year,weapon_id,offense_id,nibrs_weapon_id
2022,38,181113294,
2022,38,181113329,
2022,32,181113441,
2022,36,181113395,
2022,41,181113255,
2022,9,181113278,
2022,3,181113309,
2022,39,181113541,
2022,21,181113477,
2022,41,195052842,
2022,38,179415294,
2022,41,182460021,
2022,38,182469285,
2022,41,181113421,
2022,41,181113625,
2022,38,187258310,
2022,38,187258446,
2022,41,182460104,
2022,41,182460187,
2022,38,187258426,
2022,38,193501941,
2022,38,182460340,
2022,42,182460425,
2022,38,182460454,
2022,42,182460631,
2022,38,182460255,
2022,41,182460314,
2022,41,195052841,
2022,32,182460261,
2022,38,182460433,
2022,3,182460559,
2022,41,182460443,
2022,1,182460716,
2022,41,182460512,
2022,41,182460578,
2022,3,195052853,
2022,38,182460668,
2022,38,195052810,
2022,41,182460551,
2022,41,182460622,
2022,41,182460697,
2022,41,182460723,
2022,32,185389425,
2022,42,185389223,
2022,41,185389321,
2022,38,185389444,
2022,41,185389716,
2022,42,197095459,
2022,21,200647615,
2022,38,200655407,
2022,41,185389326,
2022,3,185389585,
2022,41,185389634,
2022,38,185389685,
2022,41,185389367,
2022,41,185389400,
2022,41,185389450,
2022,41,185389473,
2022,38,185389616,
2022,38,185389656,
2022,3,178422395,
2022,41,190482547,
2022,3,178422489,
2022,41,185389840,
2022,38,185389806,
2022,41,185389570,
2022,38,185389594,
2022,41,185389576,
2022,41,185389701,
2022,38,185389203,
2022,3,185389790,
2022,41,185389697,
2022,38,185389738,
2022,41,185389597,
2022,41,185389665,
2022,41,185389707,
2022,41,185389825,
2022,41,185389843,
2022,41,185389900,
2022,41,185389709,
2022,41,185389746,
2022,41,185389762,
2022,38,185389791,
2022,41,185389882,
2022,42,185390038,
2022,41,185390012,
2022,3,185389884,
2022,38,185389914,
2022,1,185389844,
2022,41,185389888,
2022,41,185390061,
2022,41,185390017,
2022,38,185390075,
2022,41,185390098,
2022,41,185389973,
2022,3,198899721,
2022,1,178422714,
2022,41,197099238,
2022,38,185389990,
2022,3,185390066,
2022,41,178422721,
2022,41,178422572,
2022,1,178422732,
2022,41,185390132,
2022,41,185390157,
2022,41,185390104,
2022,1,185390135,
2022,41,181123106,
2022,41,181123137,
2022,1,181123295,
2022,3,181123328,
2022,3,181123329,
2022,38,181123030,
2022,38,181123031,
2022,41,181123061,
2022,41,181123114,
2022,41,181123037,
2022,1,181123100,
2022,41,182472805,
2022,41,198899681,
2022,38,198899681,
2022,41,181123309,
2022,32,181123318,
2022,41,181123046,
2022,32,181123245,
2022,38,185390170,
2022,41,185389936,
2022,41,185389952,
2022,41,185389965,
2022,42,185390230,
2022,41,185390216,
2022,38,185390216,
2022,38,195052919,
2022,41,185403190,
2022,1,182473014,
2022,41,182473056,
2022,3,182472817,
2022,41,182473123,
2022,41,182473117,
2022,41,185390194,
2022,3,185390295,
2022,42,185389996,
2022,21,185390179,
2022,41,185390240,
2022,3,185390249,
2022,41,185390299,
2022,5,185390113,
2022,41,185390385,
