data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,43870619,,51
2021,45302629,,51
2021,43870552,,51
2021,43870546,,51
2021,44123087,,51
2021,45302630,,51
2021,45302631,,51
2021,42344112,,51
2021,44123120,,51
2021,44123121,,51
2021,44123122,,51
2021,44123123,,51
2021,43870549,,51
2021,44123182,,51
2021,44123079,,52
2021,44123088,,51
2021,44123089,,51
2021,44123100,,51
2021,44123103,,51
2021,44123104,,51
2021,44123150,,52
2021,44123140,,51
2021,44123141,,51
2021,44123163,,51
2021,44123139,,51
2021,44123147,,51
2021,44123148,,51
2021,44123153,,51
2021,44123154,,51
2021,44123155,,51
2021,44123158,,51
2021,44123165,,51
2021,44123166,,51
2021,44123167,,51
2021,44123185,,51
2021,44123186,,51
2021,44123256,,51
2021,44123172,,51
2021,44123195,,51
2021,44123213,,52
2021,44123223,,51
2021,44123233,,51
2021,44123245,,51
2021,44123265,,51
2021,44123289,,51
2021,44123290,,51
2021,44123298,,51
2021,44123188,,52
2021,44123206,,3
2021,44123229,,51
2021,44123243,,51
2021,44123251,,51
2021,44123226,,51
2021,44577091,,51
2021,44577092,,51
2021,44123269,,52
2021,44123279,,51
2021,44123280,,51
2021,44123252,,51
2021,44123270,,51
2021,44123271,,51
2021,44123286,,51
2021,44123287,,51
2021,44123228,,51
2021,44123235,,51
2021,44123297,,51
2021,44123305,,51
2021,44123288,,51
2021,44123306,,51
2021,44123261,,51
2021,44123313,,51
2021,44123323,,51
2021,44123324,,51
2021,44123325,,51
2021,44123329,,51
2021,44123276,,51
2021,44123277,,51
2021,44123278,,51
2021,44890644,,51
2021,44123326,,51
2021,44123363,,51
2021,44123364,,51
2021,44123377,,51
2021,44123308,,51
2021,44123343,,51
2021,44123344,,51
2021,44123349,,51
2021,44123310,,51
2021,44123331,,51
2021,44123337,,51
2021,44123328,,51
2021,44123366,,51
2021,44123367,,51
2021,44123361,,51
2021,44123362,,51
2021,44577112,,51
2021,44577108,,51
2021,44577111,,51
2021,44577115,,51
2021,44577117,,51
2021,44577130,,51
2021,44577123,,52
2021,44577159,,52
2021,44577172,,51
2021,44577181,,51
2021,44577127,,51
2021,44577128,,51
2021,44577133,,51
2021,44577134,,51
2021,44577135,,51
2021,44577136,,51
2021,44577137,,51
2021,44577138,,51
2021,44577141,,51
2021,44577142,,51
2021,44577143,,51
2021,44890635,,51
2021,44577148,,51
2021,44577146,,51
2021,44577147,,51
2021,44577150,,51
2021,44577151,,51
2021,44577152,,51
2021,44577153,,51
2021,44577154,,51
2021,44577155,,51
2021,44577160,,51
2021,44577161,,51
2021,44577162,,51
2021,44577163,,51
2021,44577164,,51
2021,44577165,,51
2021,44577166,,51
2021,44577169,,3
2021,44577169,,52
2021,44577202,,51
2021,44577203,,51
2021,44577174,,51
2021,44577175,,51
2021,44577220,,51
2021,44577234,,51
2021,44577183,,51
2021,44577185,,51
2021,44577192,,51
2021,44577201,,51
2021,44577195,,51
2021,44577194,,51
2021,44577199,,51
2021,44577207,,51
2021,44577212,,51
